date,facility_id,facility_name,facility_type,location,drug_id,drug_name,category,current_stock,min_stock,daily_usage,lead_time_days,expected_usage,stock_after_lead_time,shortage_flag,month,season
1/7/2024,6,delta medical center,clinic,mansoura,101,paracetamol,painkiller,153,35,9,3,28,120,FALSE,1,Winter
6/22/2024,6,delta medical center,clinic,mansoura,101,paracetamol,painkiller,295,27,20,7,140,159,FALSE,6,Summer
1/24/2024,1,cairo general hospital,hospital,cairo,101,paracetamol,painkiller,120,34,18,10,182,0,FALSE,1,Winter
2/20/2024,1,cairo general hospital,hospital,cairo,105,aspirin,cardio,288,46,9,8,75,217,FALSE,2,Winter
1/2/2024,5,alex central hospital,hospital,alexandria,103,ibuprofen,painkiller,90,65,15,6,89,2,FALSE,1,Winter
2/25/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,185,26,4,7,27,153,FALSE,2,Winter
3/29/2024,1,cairo general hospital,hospital,cairo,103,ibuprofen,painkiller,139,71,3,12,33,103,FALSE,3,Spring
2/1/2024,4,nasr city pharmacy,pharmacy,cairo,105,aspirin,cardio,203,25,19,5,95,108,FALSE,2,Winter
4/2/2024,6,delta medical center,clinic,mansoura,105,aspirin,cardio,117,66,4,1,6,104,FALSE,4,Spring
3/15/2024,6,delta medical center,clinic,mansoura,102,amoxicillin,antibiotic,55,73,9,14,128,0,FALSE,3,Spring
3/12/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,237,60,13,3,35,197,FALSE,3,Spring
2/23/2024,3,giza health center,clinic,giza,103,ibuprofen,painkiller,142,64,4,10,40,110,FALSE,2,Winter
5/16/2024,6,delta medical center,clinic,mansoura,102,amoxicillin,antibiotic,129,30,16,7,111,22,FALSE,5,Spring
6/25/2024,3,giza health center,clinic,giza,106,metformin,diabetes,298,35,12,14,163,126,FALSE,6,Summer
1/9/2024,1,cairo general hospital,hospital,cairo,102,amoxicillin,antibiotic,170,45,10,2,24,149,FALSE,1,Winter
3/21/2024,2,el amal pharmacy,pharmacy,cairo,105,aspirin,cardio,123,60,17,6,115,0,FALSE,3,Spring
2/6/2024,6,delta medical center,clinic,mansoura,104,insulin,diabetes,146,28,9,12,105,38,FALSE,2,Winter
3/8/2024,5,alex central hospital,hospital,alexandria,105,aspirin,cardio,235,77,20,7,141,93,FALSE,3,Spring
2/5/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,268,52,4,13,51,215,FALSE,2,Winter
2/9/2024,1,cairo general hospital,hospital,cairo,101,paracetamol,painkiller,92,68,15,10,151,0,FALSE,2,Winter
4/7/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,248,53,10,9,93,160,FALSE,4,Spring
1/30/2024,1,cairo general hospital,hospital,cairo,106,metformin,diabetes,284,68,10,13,127,155,FALSE,1,Winter
1/29/2024,6,delta medical center,clinic,mansoura,103,ibuprofen,painkiller,162,47,7,8,56,102,FALSE,1,Winter
3/8/2024,1,cairo general hospital,hospital,cairo,106,metformin,diabetes,268,70,7,9,60,214,FALSE,3,Spring
3/17/2024,1,cairo general hospital,hospital,cairo,106,metformin,diabetes,274,59,8,3,23,238,FALSE,3,Spring
5/18/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,283,77,2,10,23,256,FALSE,5,Spring
1/5/2024,3,giza health center,clinic,giza,104,insulin,diabetes,66,79,13,14,182,0,FALSE,1,Winter
1/15/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,135,76,20,2,40,89,FALSE,1,Winter
5/4/2024,1,cairo general hospital,hospital,cairo,106,metformin,diabetes,39,68,19,13,244,0,FALSE,5,Spring
6/17/2024,2,el amal pharmacy,pharmacy,cairo,102,amoxicillin,antibiotic,256,81,19,3,56,198,FALSE,6,Summer
6/4/2024,3,giza health center,clinic,giza,105,aspirin,cardio,227,34,19,13,250,0,FALSE,6,Summer
2/21/2024,6,delta medical center,clinic,mansoura,106,metformin,diabetes,173,46,13,8,106,68,FALSE,2,Winter
1/31/2024,5,alex central hospital,hospital,alexandria,104,insulin,diabetes,134,34,4,6,21,114,FALSE,1,Winter
5/21/2024,1,cairo general hospital,hospital,cairo,105,aspirin,cardio,126,56,8,1,5,118,FALSE,5,Spring
6/10/2024,1,cairo general hospital,hospital,cairo,106,metformin,diabetes,35,35,4,1,12,43,FALSE,6,Summer
5/11/2024,3,giza health center,clinic,giza,101,paracetamol,painkiller,138,36,17,4,67,60,FALSE,5,Spring
5/26/2024,5,alex central hospital,hospital,alexandria,102,amoxicillin,antibiotic,253,34,17,13,225,23,FALSE,5,Spring
1/25/2024,4,nasr city pharmacy,pharmacy,cairo,102,amoxicillin,antibiotic,59,61,15,6,91,0,FALSE,1,Winter
4/29/2024,4,nasr city pharmacy,pharmacy,cairo,104,insulin,diabetes,39,63,5,2,4,35,FALSE,4,Spring
3/27/2024,4,nasr city pharmacy,pharmacy,cairo,106,metformin,diabetes,71,35,8,4,35,38,FALSE,3,Spring
2/5/2024,5,alex central hospital,hospital,alexandria,104,insulin,diabetes,230,31,10,8,76,144,FALSE,2,Winter
4/23/2024,2,el amal pharmacy,pharmacy,cairo,101,paracetamol,painkiller,292,26,3,11,34,257,FALSE,4,Spring
1/24/2024,5,alex central hospital,hospital,alexandria,101,paracetamol,painkiller,133,31,15,8,119,10,FALSE,1,Winter
4/12/2024,4,nasr city pharmacy,pharmacy,cairo,102,amoxicillin,antibiotic,45,30,14,1,9,21,FALSE,4,Spring
4/26/2024,4,nasr city pharmacy,pharmacy,cairo,103,ibuprofen,painkiller,158,46,19,11,216,0,FALSE,4,Spring
2/9/2024,6,delta medical center,clinic,mansoura,104,insulin,diabetes,113,39,8,1,8,98,FALSE,2,Winter
5/18/2024,5,alex central hospital,hospital,alexandria,106,metformin,diabetes,43,68,12,1,7,29,FALSE,5,Spring
5/2/2024,1,cairo general hospital,hospital,cairo,105,aspirin,cardio,265,78,18,3,61,210,FALSE,5,Spring
1/21/2024,1,cairo general hospital,hospital,cairo,105,aspirin,cardio,106,24,4,11,49,55,FALSE,1,Winter
1/31/2024,2,el amal pharmacy,pharmacy,cairo,104,insulin,diabetes,133,56,3,10,38,100,FALSE,1,Winter
6/17/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,301,54,12,5,65,232,FALSE,6,Summer
3/21/2024,2,el amal pharmacy,pharmacy,cairo,106,metformin,diabetes,131,36,14,3,43,95,FALSE,3,Spring
3/17/2024,6,delta medical center,clinic,mansoura,106,metformin,diabetes,242,40,4,1,5,235,FALSE,3,Spring
5/24/2024,4,nasr city pharmacy,pharmacy,cairo,105,aspirin,cardio,56,24,19,4,78,0,FALSE,5,Spring
2/3/2024,5,alex central hospital,hospital,alexandria,103,ibuprofen,painkiller,185,75,4,4,20,174,FALSE,2,Winter
2/10/2024,3,giza health center,clinic,giza,103,ibuprofen,painkiller,233,71,19,12,225,12,FALSE,2,Winter
6/16/2024,3,giza health center,clinic,giza,105,aspirin,cardio,293,20,19,5,95,183,FALSE,6,Summer
2/4/2024,6,delta medical center,clinic,mansoura,101,paracetamol,painkiller,143,28,5,11,60,87,FALSE,2,Winter
3/10/2024,5,alex central hospital,hospital,alexandria,102,amoxicillin,antibiotic,156,56,7,12,101,60,FALSE,3,Spring
6/24/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,139,52,17,5,89,59,FALSE,6,Summer
6/11/2024,1,cairo general hospital,hospital,cairo,101,paracetamol,painkiller,232,73,9,1,10,214,FALSE,6,Summer
2/3/2024,1,cairo general hospital,hospital,cairo,103,ibuprofen,painkiller,144,32,16,9,141,0,FALSE,2,Winter
5/23/2024,6,delta medical center,clinic,mansoura,104,insulin,diabetes,14,27,4,12,47,0,FALSE,5,Spring
1/10/2024,2,el amal pharmacy,pharmacy,cairo,105,aspirin,cardio,204,57,19,3,55,140,FALSE,1,Winter
1/11/2024,4,nasr city pharmacy,pharmacy,cairo,102,amoxicillin,antibiotic,170,43,3,6,11,154,FALSE,1,Winter
3/4/2024,2,el amal pharmacy,pharmacy,cairo,106,metformin,diabetes,70,42,19,14,264,0,FALSE,3,Spring
2/9/2024,4,nasr city pharmacy,pharmacy,cairo,105,aspirin,cardio,127,75,7,13,93,43,FALSE,2,Winter
1/7/2024,2,el amal pharmacy,pharmacy,cairo,104,insulin,diabetes,97,69,12,13,156,0,FALSE,1,Winter
3/4/2024,4,nasr city pharmacy,pharmacy,cairo,106,metformin,diabetes,148,29,5,8,31,114,FALSE,3,Spring
2/26/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,113,71,16,6,97,11,FALSE,2,Winter
2/27/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,20,61,8,7,53,0,FALSE,2,Winter
1/18/2024,3,giza health center,clinic,giza,103,ibuprofen,painkiller,152,44,18,7,124,29,FALSE,1,Winter
3/25/2024,6,delta medical center,clinic,mansoura,105,aspirin,cardio,24,27,10,3,28,3,FALSE,3,Spring
1/10/2024,5,alex central hospital,hospital,alexandria,103,ibuprofen,painkiller,58,57,15,6,94,0,FALSE,1,Winter
4/21/2024,6,delta medical center,clinic,mansoura,103,ibuprofen,painkiller,272,27,14,10,143,131,FALSE,4,Spring
1/12/2024,2,el amal pharmacy,pharmacy,cairo,103,ibuprofen,painkiller,242,20,18,13,236,0,FALSE,1,Winter
6/20/2024,5,alex central hospital,hospital,alexandria,106,metformin,diabetes,116,43,15,2,28,83,FALSE,6,Summer
6/8/2024,6,delta medical center,clinic,mansoura,103,ibuprofen,painkiller,170,62,5,12,57,108,FALSE,6,Summer
3/20/2024,3,giza health center,clinic,giza,105,aspirin,cardio,213,41,14,12,172,45,FALSE,3,Spring
2/2/2024,3,giza health center,clinic,giza,105,aspirin,cardio,105,45,14,11,152,0,FALSE,2,Winter
6/6/2024,6,delta medical center,clinic,mansoura,102,amoxicillin,antibiotic,165,46,19,14,266,0,FALSE,6,Summer
3/14/2024,1,cairo general hospital,hospital,cairo,103,ibuprofen,painkiller,117,47,20,10,202,0,FALSE,3,Spring
4/29/2024,6,delta medical center,clinic,mansoura,103,ibuprofen,painkiller,227,49,8,9,73,157,FALSE,4,Spring
2/13/2024,4,nasr city pharmacy,pharmacy,cairo,106,metformin,diabetes,49,38,18,11,197,0,FALSE,2,Winter
3/26/2024,6,delta medical center,clinic,mansoura,105,aspirin,cardio,54,72,9,11,96,0,FALSE,3,Spring
2/20/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,87,22,3,4,11,78,FALSE,2,Winter
1/19/2024,4,nasr city pharmacy,pharmacy,cairo,105,aspirin,cardio,245,46,20,4,80,171,FALSE,1,Winter
4/8/2024,6,delta medical center,clinic,mansoura,106,metformin,diabetes,264,45,9,3,24,233,FALSE,4,Spring
